,d1,d2,d3,d4,d5,ruangan
0,-53.0,-50.0,-66.0,-62.0,-74.0,301
1,-43.0,-47.0,-66.0,-64.0,-77.0,301
2,-90,-57.0,-90,-90,-79.0,301
3,-46.0,-55.0,-72.0,-66.0,-80.0,301
4,-48.0,-55.0,-76.0,-64.0,-80.0,301
5,-40.0,-57.0,-62.0,-59.0,-74.0,301
6,-40.0,-49.0,-62.0,-62.0,-80.0,301
7,-41.0,-51.0,-66.0,-63.0,-74.0,301
8,-40.0,-69.0,-69.0,-63.0,-80.0,301
9,-43.0,-46.0,-69.0,-54.0,-83.0,301
10,-49.0,-53.0,-63.0,-64.0,-78.0,301
11, -37, -43, -62, -56, -82,301
12,-42.0,-40.0,-66.0,-60.0,-81.0,301
13,-45.0,-37.0,-62.0,-54.0,-75.0,301
14, -43, -49, -66, -71, -79,301
15,-50.0,-48.0,-60.0,-68.0,-81.0,301
16,-43.0,-55.0,-72.0,-69.0,-78.0,301
17,-44.0,-56.0,-64.0,-68.0,-78.0,301
18,-45.0,-51.0,-63.0,-66.0,-76.0,301
19,-90,-51.0,-90,-61.0,-77.0,301
20,-49.0,-54.0,-65.0,-59.0,-80.0,301
21,-48.0,-52.0,-66.0,-58.0,-78.0,301
22,-55.0,-54.0,-66.0,-68.0,-86.0,301
23,-44.0,-65.0,-70.0,-71.0,-76.0,301
24,-49.0,-54.0,-64.0,-54.0,-72.0,301
25,-54.0,-64.0,-66.0,-61.0,-79.0,301
26,-48.0,-62.0,-65.0,-55.0,-74.0,301
27,-46.0,-50.0,-63.0,-58.0,-76.0,301
28,-41.0,-53.0,-60.0,-60.0,-77.0,301
29,-49.0,-46.0,-90,-64.0,-78.0,301
30,-50.0,-46.0,-57.0,-52.0,-74.0,301
31,-61.0,-53.0,-57.0,-50.0,-73.0,301
32,-54.0,-46.0,-54.0,-55.0,-74.0,301
33, -56, -44, -55, -55, -69,301
34, -52, -52, -69, -75, -80,301
35,-54.0,-47.0,-64.0,-63.0,-78.0,301
36, -50, -44, -54, -62, -74,301
37,-51.0,-41.0,-55.0,-63.0,-80.0,301
38,-51.0,-47.0,-58.0,-62.0,-77.0,301
39,-55.0,-50.0,-58.0,-67.0,-74.0,301
40,-52.0,-48.0,-71.0,-62.0,-69.0,301
41,-59.0,-48.0,-65.0,-55.0,-80.0,301
42,-58.0,-57.0,-66.0,-63.0,-77.0,301
43,-52.0,-51.0,-64.0,-59.0,-90,301
44,-55.0,-57.0,-90,-61.0,-77.0,301
45,-90,-58.0,-62.0,-75.0,-74.0,301
46,-52.0,-59.0,-67.0,-67.0,-79.0,301
47,-90,-49.0,-90,-67.0,-80.0,301
48,-90,-54.0,-67.0,-66.0,-80.0,301
49,-50.0,-54.0,-69.0,-61.0,-80.0,301
50,-49.0,-58.0,-69.0,-64.0,-73.0,301
51,-90,-54.0,-64.0,-65.0,-76.0,301
52,-46.0,-56.0,-62.0,-68.0,-79.0,301
53,-44.0,-50.0,-65.0,-66.0,-78.0,301
54,-55.0,-50.0,-60.0,-62.0,-76.0,301
55,-60.0,-43.0,-62.0,-53.0,-75.0,301
56,-57.0,-56.0,-90,-69.0,-80.0,301
57,-48.0,-53.0,-69.0,-72.0,-80.0,301
58,-51.0,-52.0,-59.0,-73.0,-78.0,301
59,-51.0,-53.0,-62.0,-69.0,-78.0,301
60,-49.0,-49.0,-62.0,-76.0,-84.0,301
61,-90,-55.0,-90,-90,-79.0,301
62,-52.0,-60.0,-64.0,-71.0,-76.0,301
63,-50.0,-54.0,-60.0,-72.0,-84.0,301
64,-55.0,-58.0,-61.0,-67.0,-77.0,301
65,-59.0,-59.0,-90,-90,-78.0,301
66,-51.0,-55.0,-53.0,-90,-73.0,301
67,-51.0,-53.0,-90,-65.0,-76.0,301
68,-90,-49.0,-90,-64.0,-76.0,301
69,-54.0,-45.0,-68.0,-90,-78.0,301
70,-90,-40.0,-90,-59.0,-76.0,302
71,-46.0,-46.0,-55.0,-50.0,-75.0,302
72,-56.0,-40.0,-58.0,-50.0,-74.0,302
73,-64.0,-41.0,-61.0,-58.0,-74.0,302
74,-64.0,-41.0,-59.0,-59.0,-73.0,302
75,-51.0,-34.0,-90,-90,-75.0,302
76,-51.0,-40.0,-51.0,-51.0,-77.0,302
77,-52.0,-39.0,-57.0,-54.0,-71.0,302
78,-57.0,-41.0,-61.0,-54.0,-78.0,302
79,-68.0,-46.0,-55.0,-54.0,-77.0,302
80,-68.0,-42.0,-44.0,-58.0,-72.0,302
81,-57.0,-43.0,-51.0,-52.0,-74.0,302
82,-58.0,-32.0,-49.0,-60.0,-75.0,302
83,-63.0,-42.0,-62.0,-53.0,-75.0,302
84,-51.0,-38.0,-59.0,-55.0,-74.0,302
85,-53.0,-37.0,-60.0,-57.0,-77.0,302
86,-52.0,-32.0,-54.0,-56.0,-79.0,302
87,-53.0,-38.0,-60.0,-67.0,-74.0,302
88,-55.0,-41.0,-59.0,-53.0,-73.0,302
89,-52.0,-43.0,-57.0,-60.0,-78.0,302
90,-51.0,-45.0,-67.0,-61.0,-80.0,302
91,-55.0,-41.0,-68.0,-54.0,-80.0,302
92,-55.0,-35.0,-61.0,-57.0,-72.0,302
93,-52.0,-37.0,-53.0,-61.0,-69.0,302
94,-58.0,-46.0,-57.0,-61.0,-77.0,302
95,-54.0,-42.0,-63.0,-52.0,-80.0,302
96,-56.0,-36.0,-54.0,-52.0,-74.0,302
97,-60.0,-40.0,-58.0,-46.0,-71.0,302
98,-55.0,-41.0,-66.0,-48.0,-72.0,302
99,-61.0,-39.0,-57.0,-48.0,-73.0,302
100,-59.0,-41.0,-63.0,-50.0,-73.0,302
101,-54.0,-38.0,-53.0,-59.0,-73.0,302
102,-66.0,-42.0,-57.0,-57.0,-75.0,302
103,-57.0,-37.0,-59.0,-60.0,-75.0,302
104,-58.0,-36.0,-56.0,-59.0,-74.0,302
105,-54.0,-33.0,-57.0,-55.0,-73.0,302
106,-58.0,-34.0,-52.0,-65.0,-75.0,302
107,-56.0,-31.0,-54.0,-72.0,-78.0,302
108,-55.0,-33.0,-54.0,-69.0,-80.0,302
109,-54.0,-42.0,-59.0,-68.0,-84.0,302
110,-57.0,-42.0,-55.0,-68.0,-75.0,302
111,-54.0,-34.0,-56.0,-68.0,-83.0,302
112,-53.0,-46.0,-55.0,-66.0,-75.0,302
113,-47.0,-48.0,-55.0,-64.0,-76.0,302
114,-54.0,-41.0,-60.0,-62.0,-73.0,302
115,-57.0,-38.0,-56.0,-56.0,-77.0,302
116,-56.0,-35.0,-57.0,-59.0,-72.0,302
117,-58.0,-34.0,-58.0,-61.0,-75.0,302
118,-57.0,-29.0,-57.0,-64.0,-74.0,302
119,-60.0,-27.0,-49.0,-63.0,-72.0,302
120,-60.0,-28.0,-51.0,-63.0,-71.0,302
121,-64.0,-42.0,-50.0,-59.0,-73.0,302
122,-71.0,-47.0,-59.0,-66.0,-77.0,302
123,-64.0,-44.0,-57.0,-64.0,-73.0,302
124,-61.0,-32.0,-62.0,-66.0,-77.0,302
125,-53.0,-37.0,-52.0,-63.0,-78.0,302
126,-58.0,-30.0,-56.0,-63.0,-78.0,302
127,-55.0,-31.0,-59.0,-60.0,-73.0,302
128,-56.0,-40.0,-61.0,-61.0,-75.0,302
129,-57.0,-31.0,-56.0,-63.0,-74.0,302
130,-60.0,-50.0,-55.0,-72.0,-77.0,302
131,-54.0,-44.0,-55.0,-66.0,-75.0,302
132,-55.0,-45.0,-65.0,-66.0,-81.0,302
133,-50.0,-48.0,-75.0,-68.0,-80.0,302
134,-55.0,-41.0,-59.0,-58.0,-70.0,302
135,-57.0,-41.0,-50.0,-60.0,-73.0,302
136,-54.0,-42.0,-57.0,-68.0,-75.0,302
137,-59.0,-33.0,-51.0,-65.0,-73.0,302
138,-51.0,-50.0,-49.0,-62.0,-73.0,302
139,-58.0,-30.0,-52.0,-63.0,-74.0,302
140,-56.0,-38.0,-52.0,-65.0,-79.0,302
141,-63.0,-37.0,-57.0,-58.0,-75.0,302
142,-60.0,-33.0,-58.0,-59.0,-78.0,302
143,-60.0,-32.0,-66.0,-55.0,-76.0,302
144,-63.0,-33.0,-57.0,-57.0,-69.0,302
145,-62.0,-37.0,-58.0,-57.0,-72.0,302
146,-63.0,-47.0,-90,-55.0,-68.0,303
147,-90,-52.0,-90,-54.0,-68.0,303
148,-90,-47.0,-90,-55.0,-67.0,303
149,-64.0,-58.0,-90,-57.0,-69.0,303
150,-90,-58.0,-46.0,-53.0,-77.0,303
151,-68.0,-57.0,-50.0,-52.0,-75.0,303
152,-62.0,-57.0,-47.0,-60.0,-69.0,303
153,-67.0,-51.0,-49.0,-47.0,-69.0,303
154,-65.0,-52.0,-57.0,-51.0,-65.0,303
155,-67.0,-54.0,-49.0,-51.0,-64.0,303
156,-65.0,-53.0,-90,-49.0,-62.0,303
157,-64.0,-53.0,-51.0,-55.0,-64.0,303
158,-67.0,-53.0,-58.0,-54.0,-72.0,303
159,-67.0,-49.0,-54.0,-49.0,-67.0,303
160,-63.0,-61.0,-58.0,-42.0,-59.0,303
161,-72.0,-53.0,-55.0,-55.0,-65.0,303
162,-68.0,-50.0,-53.0,-57.0,-73.0,303
163,-65.0,-49.0,-50.0,-61.0,-71.0,303
164,-63.0,-56.0,-48.0,-58.0,-69.0,303
165,-67.0,-52.0,-53.0,-56.0,-69.0,303
166,-64.0,-51.0,-45.0,-62.0,-66.0,303
167,-65.0,-55.0,-48.0,-57.0,-64.0,303
168,-67.0,-50.0,-48.0,-60.0,-64.0,303
169,-62.0,-51.0,-90,-68.0,-62.0,303
170,-60.0,-45.0,-49.0,-62.0,-72.0,303
171,-62.0,-46.0,-50.0,-54.0,-66.0,303
172,-64.0,-52.0,-53.0,-90,-69.0,303
173,-55.0,-51.0,-50.0,-59.0,-67.0,303
174,-63.0,-46.0,-54.0,-57.0,-67.0,303
175,-57.0,-44.0,-55.0,-57.0,-64.0,303
176,-90,-52.0,-47.0,-53.0,-77.0,303
177,-68.0,-48.0,-50.0,-51.0,-65.0,303
178,-58.0,-49.0,-51.0,-53.0,-66.0,303
179,-67.0,-48.0,-54.0,-53.0,-63.0,303
180,-63.0,-90,-57.0,-59.0,-57.0,303
181,-62.0,-46.0,-59.0,-44.0,-64.0,303
182,-65.0,-90,-56.0,-46.0,-58.0,303
183,-67.0,-60.0,-49.0,-51.0,-68.0,303
184,-66.0,-56.0,-48.0,-51.0,-68.0,303
185,-59.0,-49.0,-47.0,-53.0,-62.0,303
186,-61.0,-49.0,-50.0,-60.0,-63.0,303
187,-61.0,-48.0,-48.0,-56.0,-72.0,303
188,-68.0,-57.0,-45.0,-59.0,-67.0,303
189,-56.0,-45.0,-49.0,-59.0,-71.0,303
190,-57.0,-44.0,-90,-58.0,-68.0,303
191,-60.0,-54.0,-52.0,-59.0,-71.0,303
192,-62.0,-38.0,-50.0,-57.0,-65.0,303
193,-63.0,-42.0,-48.0,-58.0,-70.0,303
194,-62.0,-53.0,-48.0,-51.0,-73.0,303
195,-65.0,-46.0,-49.0,-56.0,-67.0,303
196,-61.0,-55.0,-44.0,-52.0,-68.0,303
197,-64.0,-55.0,-42.0,-45.0,-69.0,303
198,-64.0,-55.0,-44.0,-48.0,-66.0,303
199,-65.0,-54.0,-43.0,-49.0,-70.0,303
200,-58.0,-58.0,-42.0,-90,-65.0,303
201,-63.0,-58.0,-50.0,-52.0,-70.0,303
202,-64.0,-54.0,-41.0,-45.0,-66.0,303
203,-64.0,-52.0,-50.0,-42.0,-64.0,303
204,-63.0,-57.0,-45.0,-46.0,-78.0,303
205,-69.0,-48.0,-45.0,-50.0,-60.0,303
206,-71.0,-49.0,-59.0,-57.0,-69.0,303
207,-59.0,-52.0,-54.0,-59.0,-68.0,303
208,-55.0,-52.0,-43.0,-50.0,-70.0,303
209,-65.0,-48.0,-41.0,-58.0,-61.0,303
210,-62.0,-52.0,-47.0,-65.0,-64.0,303
211,-60.0,-52.0,-42.0,-60.0,-64.0,303
212,-68.0,-55.0,-48.0,-57.0,-68.0,303
213,-63.0,-54.0,-90,-53.0,-74.0,303
214,-59.0,-52.0,-45.0,-57.0,-75.0,303
215,-62.0,-53.0,-41.0,-61.0,-78.0,303
216,-63.0,-48.0,-90,-59.0,-73.0,303
217,-90, -55,-90,-90, -59,304
218,-72.0,-63.0,-90,-45.0,-57.0,304
219,-75.0,-66.0,-57.0,-48.0,-59.0,304
220,-75.0,-69.0,-59.0,-52.0,-63.0,304
221,-71.0,-60.0,-58.0,-50.0,-60.0,304
222,-70.0,-65.0,-50.0,-49.0,-62.0,304
223,-77.0,-64.0,-49.0,-46.0,-55.0,304
224,-74.0,-62.0,-54.0,-45.0,-63.0,304
225,-75.0,-66.0,-57.0,-47.0,-58.0,304
226,-72.0,-64.0,-60.0,-42.0,-65.0,304
227,-74.0,-65.0,-59.0,-41.0,-66.0,304
228,-74.0,-78.0,-59.0,-50.0,-63.0,304
229,-70.0,-69.0,-61.0,-45.0,-60.0,304
230,-67.0,-62.0,-53.0,-46.0,-62.0,304
231,-66.0,-60.0,-52.0,-39.0,-65.0,304
232,-68.0,-59.0,-48.0,-44.0,-64.0,304
233,-76.0,-61.0,-51.0,-41.0,-59.0,304
234,-65.0,-59.0,-59.0,-46.0,-64.0,304
235,-73.0,-60.0,-53.0,-48.0,-60.0,304
236,-68.0,-64.0,-63.0,-48.0,-66.0,304
237, -66, -55, -54, -48, -61,304
238,-77.0,-61.0,-61.0,-36.0,-59.0,304
239,-78.0,-66.0,-52.0,-48.0,-64.0,304
240,-73.0,-62.0,-56.0,-52.0,-63.0,304
241,-67.0,-65.0,-49.0,-49.0,-61.0,304
242,-71.0,-60.0,-49.0,-51.0,-67.0,304
243,-72.0,-60.0,-50.0,-45.0,-65.0,304
244,-73.0,-63.0,-56.0,-45.0,-63.0,304
245,-66.0,-69.0,-64.0,-48.0,-67.0,304
246,-71.0,-59.0,-56.0,-46.0,-62.0,304
247,-66.0,-61.0,-75.0,-48.0,-65.0,304
248,-62.0,-56.0,-70.0,-37.0,-67.0,304
249,-75.0,-66.0,-59.0,-45.0,-63.0,304
250,-78.0,-62.0,-57.0,-37.0,-55.0,304
251,-66.0,-59.0,-55.0,-40.0,-60.0,304
252,-66.0,-59.0,-55.0,-37.0,-56.0,304
253,-65.0,-55.0,-57.0,-45.0,-63.0,304
254,-66.0,-64.0,-55.0,-43.0,-65.0,304
255,-67.0,-64.0,-52.0,-45.0,-64.0,304
256,-70.0,-61.0,-56.0,-50.0,-58.0,304
257,-69.0,-61.0,-52.0,-50.0,-63.0,304
258,-66.0,-61.0,-60.0,-53.0,-58.0,304
259,-68.0,-48.0,-56.0,-41.0,-53.0,304
260,-68.0,-50.0,-53.0,-42.0,-61.0,304
261,-68.0,-55.0,-48.0,-37.0,-62.0,304
262,-71.0,-59.0,-59.0,-44.0,-62.0,304
263,-70.0,-61.0,-57.0,-36.0,-59.0,304
264,-75.0,-62.0,-52.0,-36.0,-69.0,304
265,-64.0,-64.0,-46.0,-34.0,-67.0,304
266,-90,-59.0,-45.0,-37.0,-66.0,304
267,-75.0,-64.0,-57.0,-46.0,-60.0,304
268,-71.0,-59.0,-53.0,-43.0,-63.0,304
269,-72.0,-60.0,-62.0,-34.0,-56.0,304
270,-77.0,-64.0,-57.0,-46.0,-60.0,304
271,-70.0,-63.0,-52.0,-45.0,-65.0,304
272,-71.0,-65.0,-48.0,-51.0,-54.0,304
273,-64.0,-61.0,-57.0,-47.0,-58.0,304
274,-69.0,-63.0,-59.0,-52.0,-64.0,304
275,-76.0,-59.0,-56.0,-56.0,-57.0,304
276,-66.0,-57.0,-54.0,-49.0,-53.0,304
277,-73.0,-58.0,-52.0,-50.0,-59.0,304
278,-77.0,-59.0,-57.0,-47.0,-60.0,304
279,-70.0,-60.0,-56.0,-48.0,-60.0,304
280,-69.0,-55.0,-48.0,-44.0,-63.0,304
281,-81.0,-57.0,-54.0,-46.0,-71.0,304
282,-84.0,-59.0,-53.0,-48.0,-61.0,304
283,-74.0,-60.0,-62.0,-40.0,-57.0,304
284,-66.0,-62.0,-50.0,-45.0,-68.0,304
285,-67.0,-63.0,-50.0,-40.0,-68.0,304
286,-68.0,-59.0,-50.0,-44.0,-70.0,304
287,-71.0,-61.0,-58.0,-38.0,-65.0,304
288,-77.0,-60.0,-63.0,-41.0,-58.0,304
289,-73.0,-66.0,-60.0,-39.0,-54.0,304
290,-74.0,-61.0,-58.0,-43.0,-56.0,304
291,-78.0,-67.0,-65.0,-37.0,-61.0,304
292,-76.0,-63.0,-62.0,-46.0,-53.0,304
293,-70.0,-66.0,-63.0,-40.0,-59.0,305
294,-74.0,-64.0,-62.0,-33.0,-67.0,305
295,-74.0,-67.0,-59.0,-30.0,-57.0,305
296,-90,-63.0,-90,-28.0,-58.0,305
297,-74.0,-73.0,-63.0,-27.0,-54.0,305
298,-90,-67.0,-61.0,-90,-56.0,305
299,-90,-63.0,-62.0,-37.0,-58.0,305
300,-78.0,-62.0,-90,-90,-53.0,305
301,-73.0,-63.0,-62.0,-90,-53.0,305
302,-72.0,-62.0,-90,-41.0,-61.0,305
303,-74.0,-63.0,-65.0,-41.0,-53.0,305
304,-90,-62.0,-90,-40.0,-56.0,305
305,-90,-67.0,-70.0,-90,-53.0,305
306,-75.0,-70.0,-63.0,-48.0,-52.0,305
307,-70.0,-71.0,-68.0,-44.0,-61.0,305
308,-72.0,-78.0,-66.0,-46.0,-53.0,305
309,-73.0,-67.0,-65.0,-90,-54.0,305
310,-90,-63.0,-90,-41.0,-49.0,305
311,-90,-65.0,-64.0,-37.0,-52.0,305
312,-90,-63.0,-59.0,-32.0,-53.0,305
313,-90,-69.0,-57.0,-30.0,-53.0,305
314,-72.0,-63.0,-90,-38.0,-51.0,305
315,-76.0,-63.0,-70.0,-47.0,-59.0,305
316,-90,-64.0,-67.0,-39.0,-57.0,305
317,-68.0,-64.0,-66.0,-35.0,-57.0,305
318,-79.0,-65.0,-67.0,-28.0,-55.0,305
319,-90,-70.0,-69.0,-37.0,-53.0,305
320,-90,-59.0,-58.0,-39.0,-56.0,305
321,-69.0,-53.0,-56.0,-42.0,-59.0,305
322,-90,-65.0,-59.0,-29.0,-60.0,305
323,-75.0,-75.0,-71.0,-41.0,-62.0,305
324,-74.0,-71.0,-65.0,-33.0,-55.0,305
325,-76.0,-72.0,-64.0,-36.0,-62.0,305
326,-90,-72.0,-67.0,-39.0,-48.0,305
327,-73.0,-69.0,-66.0,-42.0,-51.0,305
328,-75.0,-70.0,-71.0,-43.0,-55.0,305
329,-79.0,-69.0,-63.0,-45.0,-52.0,305
330,-72.0,-69.0,-67.0,-53.0,-55.0,305
331,-75.0,-74.0,-64.0,-42.0,-54.0,305
332,-77.0,-70.0,-67.0,-43.0,-55.0,305
333,-77.0,-55.0,-64.0,-39.0,-53.0,305
334,-73.0,-53.0,-68.0,-49.0,-52.0,305
335,-90,-69.0,-71.0,-48.0,-54.0,305
336,-90,-67.0,-62.0,-46.0,-54.0,305
337,-79.0,-70.0,-90,-48.0,-51.0,305
338,-72.0,-57.0,-63.0,-48.0,-45.0,305
339,-73.0,-66.0,-63.0,-48.0,-45.0,305
340,-73.0,-68.0,-66.0,-38.0,-49.0,305
341,-76.0,-57.0,-65.0,-36.0,-48.0,305
342,-90,-59.0,-59.0,-37.0,-50.0,305
343,-75.0,-65.0,-58.0,-32.0,-56.0,305
344,-71.0,-64.0,-59.0,-33.0,-56.0,305
345,-72.0,-67.0,-62.0,-30.0,-65.0,305
346,-75.0,-63.0,-59.0,-39.0,-56.0,305
347,-72.0,-63.0,-66.0,-39.0,-54.0,305
348,-72.0,-64.0,-59.0,-40.0,-59.0,305
349,-90,-66.0,-64.0,-35.0,-58.0,305
350,-78.0,-70.0,-68.0,-32.0,-58.0,305
351,-74.0,-67.0,-66.0,-33.0,-57.0,305
352,-76.0,-57.0,-60.0,-29.0,-51.0,305
353,-73.0,-55.0,-65.0,-32.0,-49.0,305
354,-90,-62.0,-67.0,-29.0,-48.0,305
355,-73.0,-62.0,-64.0,-29.0,-55.0,305
356,-70.0,-54.0,-68.0,-46.0,-49.0,305
357,-90,-66.0,-69.0,-35.0,-54.0,305
358,-73.0,-68.0,-65.0,-44.0,-52.0,305
359,-90,-58.0,-62.0,-36.0,-60.0,305
360,-70.0,-56.0,-66.0,-38.0,-54.0,305
361,-79.0,-57.0,-72.0,-40.0,-47.0,305
362,-78.0,-61.0,-90,-41.0,-45.0,305
